transaction_id,order_date,product_name,category,quantity,unit_price,revenue,city,payment_method,delivery_status
TXN013111,2023-01-01,Nail Polish,Beauty,5,110239.28,551196.4,Ibadan,Card,Cancelled
TXN005475,2023-01-01,Ankara Dress,Fashion,4,153486.08,613944.32,Enugu,Transfer,Delivered
TXN018057,2023-01-01,Hair Extension,Beauty,3,192604.65,577813.95,Enugu,USSD,Pending
TXN012557,2023-01-01,Cooking Pot,Home,1,71462.46,71462.46,Ibadan,Cash,Cancelled
TXN010624,2023-01-01,Gucci Bag,Fashion,5,117470.65,587353.25,Port Harcourt,Transfer,Pending
TXN006528,2023-01-01,Table Lamp,Home,4,5582.82,22331.28,Enugu,Cash,Delivered
TXN002888,2023-01-01,Perfume,Beauty,1,250794.75,250794.75,Lagos,Transfer,Pending
TXN016087,2023-01-01,Nike Sneakers,Fashion,1,230992.03,230992.03,Lagos,Transfer,Pending
TXN011043,2023-01-01,Rug,Home,2,367792.73,735585.46,Enugu,Card,Delivered
TXN000258,2023-01-01,Nike Sneakers,Fashion,3,129138.04,387414.12,Enugu,Card,Pending
TXN017029,2023-01-01,Wristwatch,Fashion,4,394266.28,1577065.12,Abuja,USSD,Cancelled
TXN012098,2023-01-01,Ankara Dress,Fashion,2,196467.34,392934.68,Port Harcourt,Cash,Pending
TXN003871,2023-01-01,Cooking Pot,Home,1,98783.06,98783.06,Enugu,Transfer,Delivered
TXN002753,2023-01-01,Wristwatch,Fashion,2,110021.46,220042.92,Enugu,Card,Delivered
TXN012097,2023-01-01,Ankara Dress,Fashion,3,456369.89,1369109.67,Ibadan,USSD,Pending
TXN006423,2023-01-01,Perfume,Beauty,4,469399.66,1877598.64,Kano,Cash,Pending
TXN015049,2023-01-01,Cooking Pot,Home,1,55220.2,55220.2,Enugu,Cash,Delivered
TXN007388,2023-01-01,HP Laptop,Electronics,4,355919.89,1423679.56,Enugu,Transfer,Pending
TXN016524,2023-01-01,JBL Speaker,Electronics,3,239782.37,719347.11,Port Harcourt,Card,Cancelled
TXN018368,2023-01-01,Ankara Dress,Fashion,5,292391.47,1461957.35,Kano,Card,Cancelled
TXN006895,2023-01-01,Rice Cooker,Home,3,306482.01,919446.03,Abuja,Card,Pending
TXN005637,2023-01-01,Hair Extension,Beauty,4,231473.62,925894.48,Ibadan,Card,Cancelled
TXN005607,2023-01-01,Table Lamp,Home,3,221615.41,664846.23,Kano,USSD,Pending
TXN013857,2023-01-01,LG TV,Electronics,5,288671.33,1443356.65,Port Harcourt,Transfer,Cancelled
TXN007246,2023-01-01,HP Laptop,Electronics,3,437783.5,1313350.5,Port Harcourt,Cash,Cancelled
TXN015281,2023-01-01,Skincare Set,Beauty,2,244596.38,489192.76,Lagos,Transfer,Pending
TXN015703,2023-01-01,Wristwatch,Fashion,1,311169.96,311169.96,Enugu,USSD,Cancelled
TXN001760,2023-01-02,Makeup Kit,Beauty,1,261015.6,261015.6,Abuja,Cash,Cancelled
TXN001586,2023-01-02,Rug,Home,5,499114.46,2495572.3,Lagos,Cash,Cancelled
TXN005186,2023-01-02,HP Laptop,Electronics,5,114834.15,574170.75,Port Harcourt,USSD,Cancelled
TXN016509,2023-01-02,Wristwatch,Fashion,4,376171.77,1504687.08,Kano,Card,Pending
TXN017665,2023-01-02,Nike Sneakers,Fashion,2,369655.28,739310.56,Port Harcourt,Transfer,Pending
TXN013445,2023-01-02,Nike Sneakers,Fashion,3,382327.51,1146982.53,Ibadan,Transfer,Pending
